date,y_true,fcast_lasso,hmean,nr_lasso,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf,Pyun_FC
2009-12-01,0.018983,0.005234475172725111,0.0047966932773109245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-01-01,-0.035851,0.004475727490002801,0.004856050209205021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-02-01,0.030424,0.011973256498232509,0.0046864375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-03-01,0.061014,0.008177136399859286,0.004793232365145228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-04-01,0.015877,0.009077693624301587,0.0050255495867768596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-05-01,-0.080211,0.006178704875637924,0.005070205761316872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-06-01,-0.053625,0.003306118783501102,0.00472069262295082,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-07-01,0.070351,0.017839714739315515,0.00448254693877551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-08-01,-0.045534,0.0059783262224820536,0.00475030487804878,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-09-01,0.090283,0.00800080787025383,0.004546724696356275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-10-01,0.038626,0.004794140641276693,0.004892435483870968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-11-01,-0.000151,0.008619070343795932,0.005027911646586346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2010-12-01,0.066954,0.007921473920251351,0.005007196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-01-01,0.023249,0.008854530883654736,0.005253996015936255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-02-01,0.032408,0.010168615293454303,0.005325404761904762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-03-01,0.000525,0.009406586847799986,0.005432450592885376,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-04-01,0.029341,0.008777901491285484,0.005413129921259844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-05-01,-0.011313,0.004268430970324341,0.005506964705882354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-06-01,-0.016545,0.009012890276145203,0.0054412617187500015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-07-01,-0.019828,0.009779746993599993,0.005355712062256811,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-08-01,-0.054323,0.008125526197302446,0.005258100775193798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-09-01,-0.070338,0.0018498480375953531,0.0050280579150579156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-10-01,0.109014,0.016092462401198944,0.004738188461538462,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-11-01,-0.002727,0.00517359963535087,0.005137712643678161,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011-12-01,0.009427,0.010314078581051005,0.00510769465648855,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
