date,y_true,fcast_ridge,hmean,nr_ridge,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2007-12-01,-0.009516,0.01010407951032913,0.0064921128133704755,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-01-01,-0.063866,0.015829507226868992,0.0064698484005563306,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-02-01,-0.033519,0.006399118475066456,0.006372159722222224,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-03-01,-0.0047,0.00631849556388552,0.006316832177531209,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-04-01,0.046929,0.006313564247360129,0.006301573407202218,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-05-01,0.011186,0.007834229259759328,0.006357766251728909,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-06-01,-0.084642,0.007154591805255108,0.006364435082872931,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-07-01,-0.009006,0.006248029553407079,0.006238908965517245,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-08-01,0.013455,0.005859815772231412,0.006217910468319562,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-09-01,-0.086767,0.007085345737171297,0.006227865199449797,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-10-01,-0.16848,0.004687737545664327,0.006100125000000003,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-11-01,-0.074312,-0.020667874569439873,0.005860646090534983,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2008-12-01,0.011695,-0.00021313185221930216,0.005750820547945209,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-01-01,-0.082615,0.0275321086222301,0.00575895212038304,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-02-01,-0.103588,-0.007067272734072495,0.0056382226775956315,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-03-01,0.087534,-0.022107355575199755,0.005489210095497957,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-04-01,0.09403,-0.008044213434800713,0.0056009877384196214,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-05-01,0.05454,0.003518095212687008,0.005721299319727894,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-06-01,0.002476,0.00564275205582336,0.0057876290760869595,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-07-01,0.074382,0.00565178101770273,0.005783135685210315,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-08-01,0.034651,0.006599815233985547,0.005876088075880759,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-09-01,0.036434,0.006566711480147678,0.005915025710419486,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-10-01,-0.018359,0.006889423233653868,0.005956267567567568,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-11-01,0.060257,0.005713586296006589,0.0059234534412955465,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2009-12-01,0.018983,0.006028617495923984,0.005996679245283019,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-01-01,-0.035851,0.005369209053997621,0.006014157469717363,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-02-01,0.030424,0.005866307452549277,0.005957887096774194,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-03-01,0.061014,0.0056431935816117175,0.005990727516778524,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-04-01,0.015877,0.0059951529723609774,0.00606448525469169,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-05-01,-0.080211,0.006339190000995824,0.006077621151271754,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-06-01,-0.053625,0.005072082970063343,0.005962262032085562,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-07-01,0.070351,0.0062088652788341615,0.005882706275033378,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-08-01,-0.045534,0.0060808750814401406,0.005968663999999999,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-09-01,0.090283,0.006565264251161499,0.005900085219707057,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-10-01,0.038626,0.005508958414262173,0.006012296542553191,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-11-01,-0.000151,0.0054987389931455835,0.006055608233731739,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-12-01,0.066954,0.005599886117910159,0.006047376657824934,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-01-01,0.023249,0.005875758746996808,0.006128047682119206,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-02-01,0.032408,0.005506727929857799,0.006150694444444445,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-03-01,0.000525,0.006218004377724735,0.006185380449141348,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-04-01,0.029341,0.005549637128791562,0.006177912928759895,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-05-01,-0.011313,0.006458268234448106,0.006208430830039526,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-06-01,-0.016545,0.006384325586895506,0.006185376315789473,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-07-01,-0.019828,0.005493591852630787,0.006155507227332457,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-08-01,-0.054323,0.006706556583941995,0.006121408136482939,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-09-01,-0.070338,0.004627855043567048,0.006042188728702489,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-10-01,0.109014,0.006228216661403493,0.005942214659685864,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2011-11-01,-0.002727,0.005749834898550899,0.006076949019607843,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
