date,y_true,fcast_comby,hmean,nr_comby,dy,ep,dpayr,svar,bmr,ntis,tbl,lty,ltr,dfr,dfy,inf
2015-04-01,0.009101,0.007190102015353743,0.006503395781637719,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-05-01,0.012522,0.005160444940153798,0.006506614622057003,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-06-01,-0.019343,0.005630286994258849,0.006514059405940595,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-07-01,0.021297,0.004552447553065034,0.00648209765142151,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-08-01,-0.060086,0.00878529422595574,0.006500387654320989,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-09-01,-0.024547,0.004087394556683858,0.00641828360049322,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-10-01,0.083449,0.006061415310191667,0.006380149014778326,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-11-01,0.003373,0.005935672590299002,0.0064749446494464956,2,0,0,0,1,0,0,0,0,1,0,0,0
2015-12-01,-0.015247,0.006114320309096482,0.006471133906633907,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-01-01,-0.0492,0.005473224084261699,0.006444485889570553,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-02-01,-0.001842,0.00799721254047283,0.00637629411764706,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-03-01,0.06714,0.007637082672555586,0.006366235006119952,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-04-01,0.003547,0.00640907691394077,0.006440530562347189,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-05-01,0.018387,0.006303761457500317,0.006436997557997559,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-06-01,0.002575,0.007146392024738847,0.006451570731707317,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-07-01,0.036371,0.009619057364329539,0.006446848964677223,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-08-01,0.001047,0.007439387894734343,0.006483253041362531,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-09-01,0.000246,0.0060079430407929575,0.006476647630619684,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-10-01,-0.018158,0.005380700342896337,0.006469086165048544,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-11-01,0.03559,0.0047104590602293096,0.006439235151515152,2,0,0,0,1,0,0,0,0,1,0,0,0
2016-12-01,0.0191,0.00253290760074197,0.006474526634382567,2,0,0,0,1,0,0,0,0,1,0,0,0
2017-01-01,0.019084,0.00649683108475067,0.00648979322853688,2,0,0,0,1,0,0,0,0,1,0,0,0
